"Years" "conference" "offName" "school" "Division" "offName"
1978 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1979 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1980 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1981 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1982 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1983 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1984 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1985 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1986 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1987 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1988 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1989 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1990 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1991 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1992 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1993 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1994 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1995 "Southwest Conference" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1996 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1997 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1998 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1999 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2000 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2001 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2002 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2003 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2004 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2005 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2006 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2007 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2008 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2009 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2010 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2011 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
2012 "Conference USA" "University of Houston" "Houston (TX)" "NCAA Division I-A" "University of Houston"
1893 "Independent" "University of Idaho" "Idaho" NA NA
1894 "Independent" "University of Idaho" "Idaho" NA NA
1895 "Independent" "University of Idaho" "Idaho" NA NA
1896 "Independent" "University of Idaho" "Idaho" NA NA
1897 "Independent" "University of Idaho" "Idaho" NA NA
1898 "Independent" "University of Idaho" "Idaho" NA NA
1899 "Independent" "University of Idaho" "Idaho" NA NA
1900 "Independent" "University of Idaho" "Idaho" NA NA
1901 "Independent" "University of Idaho" "Idaho" NA NA
1902 "Independent" "University of Idaho" "Idaho" NA NA
1903 "Independent" "University of Idaho" "Idaho" NA NA
1904 "Independent" "University of Idaho" "Idaho" NA NA
1905 "Independent" "University of Idaho" "Idaho" NA NA
1906 "Independent" "University of Idaho" "Idaho" NA NA
1907 "Independent" "University of Idaho" "Idaho" NA NA
1908 "Independent" "University of Idaho" "Idaho" NA NA
1909 "Independent" "University of Idaho" "Idaho" NA NA
1910 "Independent" "University of Idaho" "Idaho" NA NA
1911 "Independent" "University of Idaho" "Idaho" NA NA
1912 "Independent" "University of Idaho" "Idaho" NA NA
1908 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1909 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1910 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1911 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1912 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1913 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1914 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1915 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1916 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1917 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1918 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1919 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1920 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1921 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1922 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1923 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1924 "Pacific Northwest Intercollegiate Conference" "University of Idaho" "Idaho" NA NA
1922 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1923 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1924 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1925 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1926 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1927 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1928 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1929 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1930 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1931 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1932 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1933 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1934 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1935 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1936 "Pacific Coast Conference" "University of Idaho" "Idaho" NA NA
1937 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA College Division (Small College)" "University of Idaho"
1938 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1939 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1940 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1941 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1942 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1943 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1944 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1945 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1946 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1947 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1948 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1949 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1950 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1951 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1952 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1953 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1954 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1955 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1956 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1957 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1958 "Pacific Coast Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1959 "Independent" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1960 "Independent" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1961 "Independent" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1962 "Independent" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1963 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1964 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1965 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1966 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1967 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA College Division (Small College)" "University of Idaho"
1968 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA College Division (Small College)" "University of Idaho"
1969 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1970 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1971 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1972 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA University Division (Major College)" "University of Idaho"
1973 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I" "University of Idaho"
1974 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I" "University of Idaho"
1975 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I" "University of Idaho"
1976 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I" "University of Idaho"
1977 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I" "University of Idaho"
1978 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I-AA" "University of Idaho"
1979 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I-AA" "University of Idaho"
1980 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I-AA" "University of Idaho"
1981 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I-AA" "University of Idaho"
1982 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I-AA" "University of Idaho"
1983 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I-AA" "University of Idaho"
1984 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I-AA" "University of Idaho"
1985 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I-AA" "University of Idaho"
1986 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I-AA" "University of Idaho"
1987 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I-AA" "University of Idaho"
1988 "Big Sky Conference" "University of Idaho" "Idaho" "NCAA Division I-AA" "University of Idaho"
