"Years" "Conference" "offName" "school" "Division" "school"
1959 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1960 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1961 "South Central Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1962 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1963 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" NA NA
1964 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA" "Alcorn St. (MS)"
1965 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA" "Alcorn St. (MS)"
1965 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA College Division (Small College)" "Alcorn St. (MS)"
1966 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA" "Alcorn St. (MS)"
1966 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA College Division (Small College)" "Alcorn St. (MS)"
1967 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA" "Alcorn St. (MS)"
1967 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA College Division (Small College)" "Alcorn St. (MS)"
1968 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA" "Alcorn St. (MS)"
1968 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA College Division (Small College)" "Alcorn St. (MS)"
1969 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA" "Alcorn St. (MS)"
1969 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA College Division (Small College)" "Alcorn St. (MS)"
1970 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA College Division (Small College)" "Alcorn St. (MS)"
1970 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1971 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA College Division (Small College)" "Alcorn St. (MS)"
1971 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
