"Years" "Conference" "offName" "school" "Division" "school"
1958 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1959 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NAIA" "North Dakota St."
1959 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1960 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NAIA" "North Dakota St."
1960 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1961 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1962 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1963 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1964 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1965 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1966 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1967 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1968 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1969 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1970 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1971 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1972 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA College Division (Small College)" "North Dakota St."
1973 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1974 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1975 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1976 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1977 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1978 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1979 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1980 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1981 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1982 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1983 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1984 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1985 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1986 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1987 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1988 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1989 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1990 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1991 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1992 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1993 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1994 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1995 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1996 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1997 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1998 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
1999 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
2000 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
2001 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
2002 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
2003 "North Central Intercollegiate Athletic Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
2004 "Great West Football Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
2005 "Great West Football Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
2006 "Great West Football Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
2007 "Great West Football Conference" "North Dakota State University" "North Dakota St." "NCAA Division II" "North Dakota St."
2008 "Missouri Valley Football Conference" "North Dakota State University" "North Dakota St." "NCAA Division I-AA" "North Dakota St."
2009 "Missouri Valley Football Conference" "North Dakota State University" "North Dakota St." "NCAA Division I-AA" "North Dakota St."
2010 "Missouri Valley Football Conference" "North Dakota State University" "North Dakota St." "NCAA Division I-AA" "North Dakota St."
2011 "Missouri Valley Football Conference" "North Dakota State University" "North Dakota St." "NCAA Division I-AA" "North Dakota St."
2012 "Missouri Valley Football Conference" "North Dakota State University" "North Dakota St." "NCAA Division I-AA" "North Dakota St."
1915 "Independent" "Northern Arizona University" "Northern Arizona" NA NA
1916 "Independent" "Northern Arizona University" "Northern Arizona" NA NA
1917 "Independent" "Northern Arizona University" "Northern Arizona" NA NA
1918 "Independent" "Northern Arizona University" "Northern Arizona" NA NA
1919 "Independent" "Northern Arizona University" "Northern Arizona" NA NA
1920 "Independent" "Northern Arizona University" "Northern Arizona" NA NA
1921 "Independent" "Northern Arizona University" "Northern Arizona" NA NA
1922 "Independent" "Northern Arizona University" "Northern Arizona" NA NA
