"no","name","pos","ht","wt","class","hometown","year"
6,"Manus Edwards","RB ","5-8 ",178,"Jr./So. ","Henderson, Nev.  (Green Valley) ",1998
25,"Hayden Epstein*","PK ","6-2 ",194,"Fr./Fr. ","Cardiff, Calif.  (Torrey Pines) ",1998
34,"Justin Fargas*","RB ","6-1 ",185,"Fr./Fr. ","Encino, Calif.  (Notre Dame) ",1998
90,"Juaquin Feazell****","DE ","6-4 ",268,"5th/Sr. ","Ft Valley , Ga.  (Peach County) ",1998
49,"Jay Feely****","PK ","5-10 ",206,"5th/Sr. ","Odessa, Fla.  (Tampa Jesuit) ",1998
17,"Larry Foote*","ILB ","6-1 ",211,"Fr./Fr. ","Detroit, Mich.  (Pershing) ",1998
36,"Bob Fraumann","LB ","6-3 ",220,"So./Fr. ","Deerfield, Ill.  (Deerfield) ",1998
64,"Steve Frazier***","OL ","6-4 ",288,"Sr./Jr. ","Kingwood, Texas  (Kingwood) ",1998
99,"Jake Frysinger**","DL ","6-4 ",272,"So./So. ","Grosse Ile, Mich.  (Grosse Ile) ",1998
20,"Ian Gold***","ILB ","6-1 ",205,"Jr./Jr. ","Belleville, Mich.  (Belleville) ",1998
78,"Jonathan Goodwin","OL ","6-4 ",290,"So./Fr. ","Columbia, S.C.  (Lower-Richland) ",1998
56,"James Hall*","LB ","6-3 ",260,"Sr./Jr. ","New Orleans, La.  (St. Augustine) ",1998
41,"Tommy Hendricks***","FS ","6-2 ",205,"Jr./Jr. ","Houston, Texas  (Eisenhower) ",1998
7,"Drew Henson*","QB ","6-4 ",221,"Fr./Fr. ","Brighton, Mich.  (Brighton) ",1998
6,"Victor Hobson","ILB ","6-1 ",229,"Fr./Fr. ","Mt. Laurel, N.J.  (St. Joseph's Prep) ",1998
45,"Jeff Houltry**","LB ","6-3 ",241,"Jr./Jr. ","Salt Lake City, Utah  (Salt Lake City West) ",1998
3,"Todd Howard*","CB ","5-10 ",178,"Fr./Fr. ","Bolingbrook, Ill.  (Bolingbrook) ",1998
76,"Steve Hutchinson**","OL ","6-5 ",296,"Jr./So. ","Coral Springs, Fla.  (Coral Springs) ",1998
35,"Ray Jackson**","FB ","6-2 ",207,"So./So. ","Indianapolis, Ind.  (Lawrence Central) ",1998
31,"Kenneth Jackson***","CB ","5-10 ",190,"Jr./Jr. ","Houston, Texas  (Cypress Creek) ",1998
77,"Jon Jansen****","OL ","6-7 ",299,"5th/Sr. ","Clawson, Mich.  (Clawson) ",1998
49,"Matt Johnson","SS ","5-10 ",180,"Sr./Jr. ","New Buffalo, Mich.  (New Buffalo) ",1998
9,"DiAllo Johnson**","WR ","6-3 ",193,"Sr./Jr. ","Detroit, Mich.  (Orchard Lake St. Mary's) ",1998
55,"Dhani Jones***","ILB ","6-2 ",225,"Jr./Jr. ","Potomac, Md.  (Winston Churchill) ",1998
83,"Bennie Joppru","TE ","6-4 ",251,"Fr./Fr. ","Wayzata, Minn.  (Minnetonka) ",1998
28,"Anthony Jordan*","LB ","6-0 ",215,"So./Fr. ","Jersey City, N.J.  (St. Peters Prep) ",1998
2,"Cato June","CB ","6-1 ",201,"Fr./Fr. ","Washington, D.C.  (Anacostia) ",1998
13,"Jason Kapsner***","QB ","6-6 ",234,"Jr./So. ","Eden Prarie, Minn.  (Eden Prarie) ",1998
62,"Brodie Killian","OLB ","6-3 ",226,"So./Fr. ","Dearborn, Mich.  (Dearborn) ",1998
85,"Marcus Knight***","WR ","6-1 ",173,"Jr./Jr. ","Sylacauga, Ala.  (Comer) ",1998
2,"Brandon Kornblue","PK ","5-10 ",160,"Sr./Jr. ","Boca Raton, Fla.  (Boca Raton) ",1998
95,"Patrick Kratus***","DL ","6-3 ",271,"Sr./Jr. ","Rocky River, Ohio  (Ignatius) ",1998
97,"Shawn Lazarus","DL ","6-3 ",227,"Fr./Fr. ","Canal Fulton, Ohio  (Northwest) ",1998
62,"Jacob Malacos","DL ","6-2 ",260,"So./Fr. ","Saginaw, Mich.  (Saginaw Heritage) ",1998
72,"Ben Mast","OL ","6-4 ",284,"So./Fr. ","Massilon, Ohio  (Washington) ",1998
24,"Patrick McCall**","RB ","5-10 ",186,"So./So. ","Carson, Calif.  (Carson) ",1998
70,"Jeremy Miller","OL/LS ","6-0 ",234,"So./Fr. ","Swanton, Ohio  (St. John's) ",1998
60,"Nate Miller**","DL ","6-3 ",277,"5th/Sr. ","Imlay City, Mich.  (Imlay City) ",1998
69,"Todd Mossa*","OL ","6-3 ",299,"So./Fr. ","Darien, Conn.  (Darien) ",1998
53,"Kirk Moundros","FB ","6-2 ",210,"Fr./Fr. ","Farmington Hills, Mich.  (North Farmington) ",1998
8,"Ryan Parini***","FS ","6-2 ",192,"Jr./So. ","Grand Rapids, Mich.  (Catholic Central) ",1998
78,"Noah Parker****","OL ","6-4 ",298,"5th/Sr. ","Milton, Fla.  (Milton) ",1998
15,"DeWayne Patmon**","FS ","6-0 ",181,"So./So. ","San Deigo, Calif.  (Patrick Henry) ",1998
23,"William Peterson**","CB ","6-0 ",193,"So./So. ","Uniontown, Pa.  (Laurel Highlands) ",1998
96,"Dave Petruziello","DL ","6-4 ",267,"Fr./Fr. ","Mentor, Ohio  (Lake Catholic) ",1998
45,"Darren Petterson","WR ","5-10 ",175,"5th/Sr. ","Flint, Mich.  (Flint Carmen-Ainsworth) ",1998
71,"Jeff Potts***","OL ","6-7 ",294,"Sr./Jr. ","Three Rivers, Mich.  (Three Rivers) ",1998
29,"Marcus Ray****","SS ","6-0 ",210,"5th/Sr. ","Columbus, Ohio  (Eastmoor) ",1998
58,"Rob Renes***","DL ","6-1 ",286,"Sr./Jr. ","Holland, Mich.  (Holland West Ottawa) ",1998
29,"Aaron Richards","WR ","5-8 ",170,"So./Fr. ","Reading, Mich.  (Reading) ",1998
89,"Gary Rose","DL ","6-4 ",263,"So./Fr. ","Quinnesec, Mich.  (Kingsford) ",1998
40,"Eric Rosel*","OLB ","6-3 ",225,"So./Fr. ","Liberal, Kan.  (Liberal) ",1998
93,"Chris Roth***","FB ","5-11 ",224,"Jr./So. ","Windsor, Ontario  (Belle River) ",1998
92,"Dan Rumishek","OLB ","6-3 ",251,"Fr./Fr. ","Addison, Ill.  (Addison Trail) ",1998
17,"Cory Sargent","P ","6-3 ",187,"Jr./So. ","South Lyon, Mich.  (South Lyon) ",1998
42,"Tate Schanski***","CB ","5-11 ",202,"Sr./Jr. ","Perry, Mich.  (Perry) ",1998
46,"Andy Sechler*","OLB ","6-1 ",234,"Jr./So. ","Union City, Mich.  (Union City) ",1998
81,"Bill Seymour*","TE ","6-3 ",248,"So./Fr. ","Granger, Ind.  (Penn) ",1998
36,"Aaron Shea***","TE ","6-4 ",249,"Sr./Jr. ","Ottawa, Ill.  (Ottawa Township) ",1998
57,"Chris Singletary***","LB ","6-2 ",233,"5th/Sr. ","Detroit, Mich.  (Detroit DePorres) ",1998
16,"Rudy Smith","WR ","6-3 ",210,"So./Fr. ","Knoxville, Tenn.  (Farragut) ",1998
27,"Demetrius Smith**","FB ","6-2 ",245,"So./So. ","Calumet Park, Ill.  (Oak Lawn-Richards) ",1998
99,"Jeff Smokevitch***","ILB ","6-0 ",223,"Sr./Jr. ","Birmingham, Mich.  (Seaholm) ",1998
86,"Tai Streets****","WR ","6-4 ",190,"Sr./Sr. ","Harvey, Ill.  (Thornton Township) ",1998
93,"Sam Sword*****","ILB ","6-2 ",242,"5th/Sr. ","Saginaw , Mich.  (Saginaw Arthur Hill) ",1998
1,"David Terrell*","WR ","6-3 ",198,"Fr./Fr. ","Richmond, Va.  (Huguenot) ",1998
32,"Anthony Thomas**","RB ","6-2 ",221,"So./So. ","Winnfield, La.  (Winnfield) ",1998
84,"Shawn Thompson*","TE ","6-4 ",243,"So./Fr. ","Saginaw, Mich.  (Nouvel) ",1998
80,"Jerame Tuman*****","TE ","6-5 ",249,"5th/Sr. ","Liberal, Kan.  (Liberal) ",1998
38,"Jason Vinson***","P ","6-2 ",191,"5th/Sr. ","Troy, Mich.  (Troy) ",1998
4,"Marquise Walker*","WR ","6-3 ",189,"Fr./Fr. ","Syracuse, N.Y.  (Henninger) ",1998
63,"Eric Warner","OL ","6-5 ",275,"Jr./So. ","Brighton, Mich.  (Brighton) ",1998
16,"Brent Washington***","FS ","6-0 ",191,"Sr./Jr. ","Inkster, Mich.  (Westland John Glenn) ",1998
30,"Andre Weathers****","CB ","6-1 ",188,"5th/Sr. ","Flint, Mich.  (Flint Central) ",1998
5,"James Whitely**","CB ","5-11 ",190,"So./So. ","Norfolk, Va.  (Norview) ",1998
14,"Dan Williams**","DB ","6-0 ",185,"Jr./So. ","Temperance, Mich.  (Bedford) ",1998
54,"Maurice Williams**","OL ","6-5 ",283,"So./So. ","Detroit, Mich.  (Pershing) ",1998
33,"Clarence Williams***","RB ","5-9 ",196,"Sr./Sr. ","Detroit, Mich.  (Detroit Cass Tech) ",1998
91,"Josh Williams***","DL ","6-3 ",271,"Sr./Jr. ","Houston, Texas  (Cyprus Creek) ",1998
94,"Eric Wilson**","DL ","6-4 ",279,"Jr./So. ","Monroe, Mich.  (Monroe) ",1998
68,"John Wood","OL ","6-4 ",242,"Fr./Fr. ","Cincinnati, Ohio  (Milford Academy) ",1998
52,"Chris Ziemann***","OL ","6-7 ",283,"Sr./Jr. ","Aurora, Ill.  (Waubonsie Valley) ",1998
2," Vincent Smith","RB","5-6",175,"SR","Pahokee, Fla. (Pahokee)",2012
3," Bo Dever","WR","6-2",193,"FR","Lake Forest, Ill. (Lake Forest HS)",2012
3," Marvin Robinson","S","6-2",200,"JR","Winter Haven, Fla. (Lake Region)",2012
4," Cameron Gordon","LB","6-3",236,"RS JR","Detroit, Mich. (Inkster)",2012
5," Justice Hayes","RB","5-10",183,"RS FR","Flint, Mich. (Grand Blanc Community)",2012
5," Courtney Avery","CB","5-11",173,"JR","Mansfield, Ohio (Lexington)",2012
6," Raymon Taylor","DB","5-10",182,"SO","Detroit, Mich. (Highland Park)",2012
6," Brian Cleary","QB","6-3",204,"FR","Detroit, Mich. (Detroit Jesuit HS)",2012
7," Brandin Hawthorne","LB","6-0",220,"SR","Pahokee, Fla. (Pahokee)",2012
8," J.T. Floyd","CB","6-0",183,"RS SR","Greenville, S.C. (J.L. Mann)",2012
8," Russell Bellomy","QB","6-3",202,"RS FR","Arlington, Texas (Martin)",2012
9," Drew Dileo","WR","5-10",180,"JR","Greenwell Springs, La. (Parkview Baptist)",2012
10," Jeremy Gallon","WR","5-8",187,"RS JR","Apopka, Fla. (Apopka)",2012
11," Jordan Kovacs","S","6-0",202,"RS SR","Curtice, Ohio (Clay)",2012
12," Allen Gant","DB","6-2",199,"FR","Sylvania, Ohio (Southview HS)",2012
12," Devin Gardner","QB","6-4",203,"JR","Detroit, Mich. (Inkster)",2012
13," Alex Swieca","QB","6-1",206,"RS FR","New York, N.Y. (The Frisch School)",2012
13," Terry Richardson","DB","5-9",162,"FR","Detroit, Mich. (Cass Tech HS)",2012
14," Jack Kennedy","QB","5-11",185,"RS SR","Walled Lake, Mich. (Walled Lake Central)",2012
14," Josh Furman","S","6-2",203,"RS SO","Annapolis, Md. (Old Mill Senior)",2012
15," James Ross III","LB",,225,"FR","Orchard Lake, Mich. (Saint Mary's Prep)",2012
15," Shaun Austin","QB","6-1",203,"FR","Plymouth, MI (Plymouth HS)",2012
16," Denard Robinson","QB","6-0",197,"SR","Deerfield Beach, Fla. (Deerfield Beach)",2012
17," Jeremy Jackson","WR","6-3",204,"JR","Ann Arbor, Mich. (Huron)",2012
18," Blake Countess","DB","5-10",180,"SO","Owings Mills, Md. (Our Lady of Good Counsel)",2012
19," Charlie Zeller","S","5-11",199,"RS JR","Centennial, Colo. (Cherry Creek)",2012
19," Devin Funchess","TE","6-5",229,"FR","Farmington Hills, Mich. (Harrison HS)",2012
20," Steve Wilson","CB","5-11",179,"RS SR","White Lake, Mich. (Lakeland)",2012
21," Roy Roundtree","WR","6-0",180,"RS SR","Trotwood, Ohio (Trotwood-Madison)",2012
22," Jarrod Wilson","S","6-2",194,"FR","Akron, Ohio (Akron Buchtel)",2012
23," Floyd Simmons","S","6-0",200,"RS SR","Detroit, Mich. (Crockett Technical)",2012
24," Delonte Hollowell","DB","5-9",176,"SO","Detroit, Mich. (Cass Technical)",2012
25," Kenny Demens","LB","6-1",242,"RS SR","Oak Park, Mich. (Detroit Country Day)",2012
26," Dennis Norfleet","RB","5-7",161,"FR","Detroit, Mich. (Martin Luther King HS)",2012
27," Mike Jones","LB","6-2",226,"RS JR","Orlando, Fla. (Edgewater)",2012
27," Jonathan Keizer","WR","6-5",211,"RS FR","Portage, MI (Portage Northern)",2012
28," Fitzgerald Toussaint","RB","5-10",202,"RS JR","Youngstown, Ohio (Liberty)",2012
29," Drake Johnson","RB","6-0",209,"FR","Ann Arbor, Mich. (Pioneer HS)",2012
30," Thomas Gordon","S","5-11",207,"RS JR","Detroit, Mich. (Cass Technical)",2012
31," Andrew Offerdahl","S","5-11",199,"FR","Fort Lauderdale, Fla. (Cardinal Gibbons HS)",2012
31," Paul Gyarmati","FB","6-1",234,"RS SR","Bloomfield Hills, Mich. (Brother Rice)",2012
34," Jeremy Clark","DB","6-4",200,"FR","Madisonville, Ky. (Madisonville North Hopkins HS)",2012
34," Brendan Gibbons","PK","6-1",230,"RS JR","West Palm Beach, Fla. (Cardinal Newman)",2012
35," Joe Bolden","LB","6-3",223,"FR","Cincinnati, Ohio (Colerain)",2012
36," Joe Kerridge","FB","6-0",244,"RS FR","Traverse City, Mich. (St. Francis)",2012
36," AJ Pearson","DB","6-0",195,"FR","Johns Creek, Ga. (Northview HS)",2012
38," Al Backey","CB","5-10",183,"RS JR","Ypsilanti, Mich. (Ypsilanti)",2012
38," Thomas Rawls","RB","5-10",218,"SO","Flint, Mich. (Flint Northern)",2012
39," Sione Houma","FB",,227,"FR","Salt Lake City, Utah (Highland HS)",2012
40," Nate Allspach","TE","6-6",244,"RS SO","Grand Rapids, Mich. (Grandville)",2012
40," Antonio Poole","LB","6-2",224,"RS FR","Cincinnati, Ohio (Winton Woods)",2012
41," Kenny Wilkins","DT","6-3",294,"RS SO","Washington, Pa. (Trinity)",2012
42," Dylan Esterline","TE","6-5",236,"RS SO","Blissfield, Mich. (Blissfield)",2012
43," Will Hagerup","P","6-4",227,"JR","Milwaukee, Wis. (Whitefish Bay)",2012
43," Chris Wormley","DE","6-4",279,"FR","Toledo, Ohio (Whitmer HS)",2012
45," Matt Wile","PK","6-2",214,"SO","San Diego, Calif. (Francis Parker)",2012
46," Seth Broekhuizen","PK","6-1",205,"RS JR","Holland, Mich. (Holland Christian)",2012
46," Clark Grace","TE","6-3",230,"FR","Tecumseh, Ontario (L'essor HS)",2012
47," Jake Ryan","LB","6-3",242,"RS SO","Westlake, Ohio (St. Ignatius)",2012
48," Desmond Morgan","LB","6-1",227,"SO","Holland, Mich. (West Ottawa)",2012
49," Brad Anlauf","WR","6-4",182,"FR","Hinsdale, Ill. (Hinsdale Central HS)",2012
49," Kaleb Ringer","LB","6-1",231,"FR","Clayton, Ohio (Northmont)",2012
50," Tom Strobel","DE","6-6",252,"FR","Mentor, Ohio (Mentor HS)",2012
51," Bobby Henderson","RB","5-11",230,"FR","Hopewell Junction, NY (John Jay HS)",2012
52," Ricky Barnum","OL","6-3",296,"RS SR","Lakeland, Fla. (Lake Gibson)",2012
52," Royce Jenkins-Stone","LB","6-2",213,"FR","Detroit, Mich. (Cass Tech HS)",2012
53," Mario Ojemudia","DE","6-3",231,"FR","Farmington Hills, Mich. (Harrison HS)",2012
54," Jareth Glanda","LS","6-3",260,"RS JR","Rochester Hills, Mich. (Brother Rice)",2012
54," Richard Ash","DT","6-3",300,"RS SO","Pahokee, Fla. (Pahokee)",2012
55," Jibreel Black","DT","6-2",279,"JR","Cincinnati, Ohio (Wyoming)",2012
56," Ondre Pipkins","DT","6-3",340,"FR","Kansas City, Mo. (Park Hill HS)",2012
56," Joey Burzynski","OL","6-1",295,"RS SO","Carlsbad, Calif. (Carlsbad)",2012
57," Frank Clark","DE","6-2",262,"SO","Cleveland, Ohio (Glenville)",2012
57," Elliott Mealer","OL","6-5",308,"RS SR","Wauseon, Ohio (Wauseon)",2012
58," Chris Bryant","OL","6-4",318,"RS FR","Chicago, Ill. (Simeon)",2012
59," Mark Lawson","LB","6-2",213,"FR","Ada, Mich. (Forest Hills Eastern HS)",2012
60," Jack Miller","OL","6-4",288,"RS FR","Perrysburg, Ohio (St. John's Jesuit)",2012
61," Graham Glasgow","OL","6-6",305,"RS FR","Aurora, Ill. (Marmion Academy)",2012
62," Blake Bars","OL","6-5",291,"FR","Nashville, Tenn. (Montgomery Bell Academy)",2012
63," Ben Pliska","OL","6-3",269,"FR","Kirkland, Wash. (Lake Washington HS)",2012
65," Patrick Omameh","OL","6-4",305,"RS SR","Columbus, Ohio (St. Francis DeSales)",2012
66," Dan Liesman","LB","6-2",212,"FR","Lansing, MI (Lansing Catholic HS)",2012
67," Nathan Brink","DT","6-5",275,"RS JR","Holland, Mich. (Holland Christian)",2012
67," Kyle Kalis","OL","6-5",294,"FR","Lakewood, Ohio (Saint Edward HS)",2012
69," Erik Gunderson","OL","6-8",303,"RS JR","Milan, Mich. (Milan)",2012
69," Willie Henry","DT","6-2",314,"FR","Cleveland, Ohio (Glenville HS)",2012
70," Kristian Mateus","OL","6-7",309,"RS SO","Ada, Mich. (Forest Hills Central)",2012
71," Ben Braden","OL","6-6",308,"FR","Rockford, Mich. (Rockford HS)",2012
73," William Campbell","DT","6-5",308,"SR","Detroit, Mich. (Cass Technical)",2012
75," Michael Schofield","OL","6-7",300,"RS JR","Orland Park, Ill. (Carl Sandburg)",2012
76," Quinton Washington","DT","6-4",300,"RS JR","St. Stephen, S.C. (Timberland)",2012
77," Taylor Lewan","OL","6-8",309,"RS JR","Scottsdale, Ariz. (Chaparral)",2012
78," Erik Magnuson","OL","6-6",285,"FR","San Diego, Calif. (La Costa Canyon HS)",2012
79," Dan Gibbs","OL","6-7",311,"FR","Birmingham, Mich. (Seaholm HS)",2012
81," Mike Kwiatkowski","TE","6-5",262,"RS SR","Macomb, Mich. (Dakota)",2012
82," Amara Darboh","WR","6-2",220,"FR","Des Moines, Iowa (Dowling Catholic)",2012
84," A.J. Williams","TE","6-6",283,"FR","Cincinnati, Ohio (Sycamore HS)",2012
85," Joe Reynolds","WR","6-1",196,"RS JR","Rochester, Mich. (Rochester Adams)",2012
86," Jehu Chesson","WR","6-3",183,"FR","St. Louis, Mo. (Ladue Horton Watkins HS)",2012
87," Brandon Moore","TE","6-5",268,"RS SR","Trotwood, Ohio (Trotwood-Madison)",2012
88," Craig Roh","DE","6-5",281,"SR","Scottsdale, Ariz. (Chaparral)",2012
91," Alex Mitropoulos-Rundus","TE","6-2",244,"RS FR","Ann Arbor, Mich. (Pioneer HS)",2012
91," Kenneth Allen","K/P","6-3",205,"FR","Fenton, Mich. (Fenton HS)",2012
92," Keith Heitzman","DE","6-3",270,"RS FR","Hilliard, Ohio (Hilliard Davidson)",2012
94," Jordan Paskorz","TE","6-3",254,"RS SO","Gibsonia, Pa. (Hampton)",2012
94," Curt Graman","LS","6-5",205,"RS JR","Cincinnati, Ohio (Elder)",2012
95," Anthony Capatina","DB","5-9",180,"RS SO","Novi, Mich. (Detroit Catholic Central HS)",2012
95," Michael Jocz","TE","6-4",210,"FR","Novi, Mich. (Novi HS)",2012
96," Ryan Glasgow","DL","6-4",294,"FR","Aurora, Ill. (Marmion Academy)",2012
97," Brennen Beyer","DE","6-3",252,"SO","Canton, Mich. (Plymouth)",2012
99," Matthew Godin","DE","6-6",277,"FR","Novi, Mich. (Catholic Central HS)",2012
3,"Bo Dever","WR","6-2",190,"RS FR","Lake Forest, Ill. (Lake Forest HS)",2013
3,"Marvin Robinson","S","6-2",202,"SR","Winter Haven, Fla. (Lake Region)",2013
4,"Cameron Gordon","LB","6-3",233,"RS SR","Detroit, Mich. (Inkster)",2013
5,"Justice Hayes","RB","5-10",190,"RS SO","Flint, Mich. (Grand Blanc Community)",2013
5,"Courtney Avery","CB","5-11",174,"SR","Mansfield, Ohio (Lexington)",2013
6,"Raymon Taylor","DB","5-10",186,"JR","Detroit, Mich. (Highland Park)",2013
6,"Brian Cleary","QB","6-3",199,"RS FR","Detroit, Mich. (Detroit Jesuit HS)",2013
7,"Ross Douglas","DB","5-10",176,"FR","Avon, Ohio (Avon)",2013
8,"Russell Bellomy","QB","6-3",213,"RS SO","Arlington, Texas (Martin)",2013
9,"Drew Dileo","WR","5-10",177,"SR","Greenwell Springs, La. (Parkview Baptist)",2013
10,"Jeremy Gallon","WR","5-8",187,"RS SR","Apopka, Fla. (Apopka)",2013
12,"Allen Gant","DB","6-2",203,"RS FR","Sylvania, Ohio (Southview HS)",2013
12,"Devin Gardner","QB","6-4",210,"RS JR","Detroit, Mich. (Inkster)",2013
13,"Alex Swieca","QB","6-1",210,"RS SO","New York, N.Y. (The Frisch School)",2013
13,"Terry Richardson","DB","5-9",162,"SO","Detroit, Mich. (Cass Tech HS)",2013
14,"Josh Furman","S","6-2",197,"RS JR","Annapolis, Md. (Old Mill Senior)",2013
15,"James Ross III","LB","6-1",223,"SO","Orchard Lake, Mich. (Saint Mary's Prep)",2013
15,"Shaun Austin","QB","6-1",204,"RS FR","Plymouth, MI (Plymouth HS)",2013
17,"Jeremy Jackson","WR","6-3",206,"SR","Ann Arbor, Mich. (Huron)",2013
18,"Blake Countess","DB","5-10",181,"JR","Owings Mills, Md. (Our Lady of Good Counsel)",2013
19,"Devin Funchess","TE","6-5",228,"SO","Farmington Hills, Mich. (Harrison HS)",2013
22,"Jarrod Wilson","S","6-2",196,"SO","Akron, Ohio (Akron Buchtel)",2013
24,"Delonte Hollowell","DB","5-9",175,"JR","Detroit, Mich. (Cass Technical)",2013
25,"Dymonte Thomas","DB","6-2",187,"FR","Alliance, Ohio (Marlington)",2013
26,"Dennis Norfleet","RB","5-7",168,"SO","Detroit, Mich. (Martin Luther King HS)",2013
27,"Mike Jones","LB","6-2",223,"RS SR","Orlando, Fla. (Edgewater)",2013
27,"Jonathan Keizer","WR","6-5",212,"RS SO","Portage, MI (Portage Northern)",2013
28,"Fitzgerald Toussaint","RB","5-10",200,"RS SR","Youngstown, Ohio (Liberty)",2013
29,"Drake Johnson","RB","6-0",212,"RS FR","Ann Arbor, Mich. (Pioneer HS)",2013
30,"Thomas Gordon","S","5-11",208,"RS SR","Detroit, Mich. (Cass Technical)",2013
33,"Taco Charlton","DE","6-6",265,"FR","Pickerington, Ohio (Central)",2013
34,"Jeremy Clark","DB","6-4",201,"RS FR","Madisonville, Ky. (Madisonville North Hopkins HS)",2013
34,"Brendan Gibbons","PK","6-1",240,"RS SR","West Palm Beach, Fla. (Cardinal Newman)",2013
35,"Joe Bolden","LB","6-3",222,"SO","Cincinnati, Ohio (Colerain)",2013
36,"Joe Kerridge","FB","6-0",241,"RS SO","Traverse City, Mich. (St. Francis)",2013
36,"AJ Pearson","DB","6-0",199,"RS FR","Johns Creek, Ga. (Northview HS)",2013
38,"Thomas Rawls","RB","5-10",217,"JR","Flint, Mich. (Flint Northern)",2013
39,"Sione Houma","FB","6-0",229,"SO","Salt Lake City, Utah (Highland HS)",2013
40,"Antonio Poole","LB","6-2",218,"RS SO","Cincinnati, Ohio (Winton Woods)",2013
42,"Dylan Esterline","TE","6-5",240,"RS JR","Blissfield, Mich. (Blissfield)",2013
43,"Will Hagerup","P","6-4",227,"SR","Milwaukee, Wis. (Whitefish Bay)",2013
43,"Chris Wormley","DL","6-4",290,"RS FR","Toledo, Ohio (Whitmer HS)",2013
45,"Matt Wile","PK","6-2",215,"JR","San Diego, Calif. (Francis Parker)",2013
46,"Clark Grace","TE","6-3",228,"RS FR","Tecumseh, Ontario (L'essor HS)",2013
47,"Jake Ryan","LB","6-3",241,"RS JR","Westlake, Ohio (St. Ignatius)",2013
48,"Desmond Morgan","LB","6-1",227,"JR","Holland, Mich. (West Ottawa)",2013
49,"Brad Anlauf","WR","6-4",187,"RS FR","Hinsdale, Ill. (Hinsdale Central HS)",2013
49,"Kaleb Ringer","LB","6-1",236,"RS FR","Clayton, Ohio (Northmont)",2013
50,"Tom Strobel","DE","6-6",262,"RS FR","Mentor, Ohio (Mentor HS)",2013
51,"Bobby Henderson","RB","5-11",226,"RS FR","Hopewell Junction, NY (John Jay HS)",2013
52,"Royce Jenkins-Stone","LB","6-2",215,"SO","Detroit, Mich. (Cass Tech HS)",2013
53,"Mario Ojemudia","DE","6-3",244,"SO","Farmington Hills, Mich. (Harrison HS)",2013
54,"Jareth Glanda","LS","6-3",246,"RS SR","Rochester Hills, Mich. (Brother Rice)",2013
54,"Richard Ash","DT","6-3",316,"RS JR","Pahokee, Fla. (Pahokee)",2013
55,"Jibreel Black","DT","6-2",276,"SR","Cincinnati, Ohio (Wyoming)",2013
56,"Ondre Pipkins","DT","6-3",308,"SO","Kansas City, Mo. (Park Hill HS)",2013
56,"Joey Burzynski","OL","6-1",291,"RS JR","Carlsbad, Calif. (Carlsbad)",2013
57,"Frank Clark","DE","6-2",277,"JR","Cleveland, Ohio (Glenville)",2013
58,"Chris Bryant","OL","6-4",325,"RS SO","Chicago, Ill. (Simeon)",2013
59,"Mark Lawson","LB","6-2",215,"RS FR","Ada, Mich. (Forest Hills Eastern HS)",2013
60,"Jack Miller","OL","6-4",291,"RS SO","Perrysburg, Ohio (St. John's Jesuit)",2013
61,"Graham Glasgow","OL","6-6",303,"RS SO","Aurora, Ill. (Marmion Academy)",2013
62,"Blake Bars","OL","6-5",284,"RS FR","Nashville, Tenn. (Montgomery Bell Academy)",2013
63,"Ben Pliska","OL","6-3",280,"RS FR","Kirkland, Wash. (Lake Washington HS)",2013
65,"Kyle Bosch","OL","6-5",307,"FR","St. Charles, Ill. (St. Francis)",2013
66,"Dan Liesman","LB","6-2",220,"RS FR","Lansing, MI (Lansing Catholic HS)",2013
67,"Kyle Kalis","OL","6-5",297,"RS FR","Lakewood, Ohio (Saint Edward HS)",2013
69,"Erik Gunderson","OL","6-8",316,"RS SR","Milan, Mich. (Milan)",2013
69,"Willie Henry","DT","6-2",306,"RS FR","Cleveland, Ohio (Glenville HS)",2013
70,"Kristian Mateus","OL","6-7",306,"RS JR","Ada, Mich. (Forest Hills Central)",2013
71,"Ben Braden","OL","6-6",314,"RS FR","Rockford, Mich. (Rockford HS)",2013
72,"Logan Tuley-Tillman","OL","6-7",285,"FR","Peoria, Ill. (Manual)",2013
75,"Michael Schofield","OL","6-7",303,"RS SR","Orland Park, Ill. (Carl Sandburg)",2013
76,"Quinton Washington","DT","6-4",305,"RS SR","St. Stephen, S.C. (Timberland)",2013
77,"Taylor Lewan","OL","6-8",308,"RS SR","Scottsdale, Ariz. (Chaparral)",2013
78,"Erik Magnuson","OL","6-6",286,"RS FR","San Diego, Calif. (La Costa Canyon HS)",2013
79,"Dan Gibbs","OL","6-7",311,"RS FR","Birmingham, Mich. (Seaholm HS)",2013
82,"Amara Darboh","WR","6-2",213,"SO","Des Moines, Iowa (Dowling Catholic)",2013
84,"A.J. Williams","TE","6-6",265,"SO","Cincinnati, Ohio (Sycamore HS)",2013
85,"Joe Reynolds","WR","6-1",200,"RS SR","Rochester, Mich. (Rochester Adams)",2013
86,"Jehu Chesson","WR","6-3",193,"RS FR","St. Louis, Mo. (Ladue Horton Watkins HS)",2013
88,"Jake Butt","TE","6-6",231,"FR","Pickerington, Ohio (Pickerington North)",2013
91,"Alex Mitropoulos-Rundus","TE","6-2",254,"RS SO","Ann Arbor, Mich. (Pioneer HS)",2013
91,"Kenneth Allen","K/P","6-3",212,"RS FR","Fenton, Mich. (Fenton HS)",2013
