"","No","WL","Date","PF","Opponent","PA","Bowl","Team","offName"
"2056","18","L","12-30-2011","21","Brigham Young (UT)","24","Armed Forces Bowl","Tulsa (OK)","University of Tulsa"
"2057","19","W","12-31-2012","31","Iowa St.","17","Liberty Bowl","Tulsa (OK)","University of Tulsa"
"2058","1","L","01-01-1943","0","Georgia","9","Rose Bowl","UCLA","University of California: Los Angeles"
"2059","2","L","01-01-1947","14","Illinois","45","Rose Bowl","UCLA","University of California: Los Angeles"
"2060","3","L","01-01-1954","20","Michigan St.","28","Rose Bowl","UCLA","University of California: Los Angeles"
"2061","4","L","01-02-1956","14","Michigan St.","17","Rose Bowl","UCLA","University of California: Los Angeles"
"2062","5","L","01-01-1962","3","Minnesota","21","Rose Bowl","UCLA","University of California: Los Angeles"
"2063","6","W","01-01-1966","14","Michigan St.","12","Rose Bowl","UCLA","University of California: Los Angeles"
"2064","7","W","01-01-1976","23","Ohio St.","10","Rose Bowl","UCLA","University of California: Los Angeles"
"2065","8","L","12-20-1976","6","Alabama","36","Liberty Bowl","UCLA","University of California: Los Angeles"
"2066","9","T","12-25-1978","10","Arkansas","10","Fiesta Bowl","UCLA","University of California: Los Angeles"
"2067","10","L","12-31-1981","14","Michigan","33","Bluebonnet Bowl","UCLA","University of California: Los Angeles"
"2068","11","W","01-01-1983","24","Michigan","14","Rose Bowl","UCLA","University of California: Los Angeles"
"2069","12","W","01-02-1984","45","Illinois","9","Rose Bowl","UCLA","University of California: Los Angeles"
"2070","13","W","01-01-1985","39","Miami (FL)","37","Fiesta Bowl","UCLA","University of California: Los Angeles"
"2071","14","W","01-01-1986","45","Iowa","28","Rose Bowl","UCLA","University of California: Los Angeles"
"2072","15","W","12-30-1986","31","Brigham Young (UT)","10","Freedom Bowl","UCLA","University of California: Los Angeles"
"2073","16","W","12-25-1987","20","Florida","16","Aloha Bowl","UCLA","University of California: Los Angeles"
"2074","17","W","01-02-1989","17","Arkansas","3","Cotton Bowl","UCLA","University of California: Los Angeles"
"2075","18","W","12-31-1991","6","Illinois","3","Sun Bowl","UCLA","University of California: Los Angeles"
"2076","19","L","01-01-1994","16","Wisconsin","21","Rose Bowl","UCLA","University of California: Los Angeles"
"2077","20","L","12-25-1995","30","Kansas","51","Aloha Bowl","UCLA","University of California: Los Angeles"
"2078","21","W","01-01-1998","29","Texas A&M","23","Cotton Bowl","UCLA","University of California: Los Angeles"
"2079","22","L","01-01-1999","31","Wisconsin","38","Rose Bowl","UCLA","University of California: Los Angeles"
"2080","23","L","12-29-2000","20","Wisconsin","21","Sun Bowl","UCLA","University of California: Los Angeles"
"2081","24","W","12-25-2002","27","New Mexico","13","Las Vegas Bowl","UCLA","University of California: Los Angeles"
"2082","25","L","12-30-2003","9","Fresno St. (CA)","17","Silicon Valley Classic","UCLA","University of California: Los Angeles"
"2083","26","L","12-23-2004","21","Wyoming","24","Las Vegas Bowl","UCLA","University of California: Los Angeles"
"2084","27","W","12-30-2005","50","Northwestern (IL)","38","Sun Bowl","UCLA","University of California: Los Angeles"
"2085","28","L","12-27-2006","27","Florida St.","44","Emerald Bowl - Florida St. Vacated Game","UCLA","University of California: Los Angeles"
"2086","29","L","12-22-2007","16","Brigham Young (UT)","17","Las Vegas Bowl","UCLA","University of California: Los Angeles"
"2087","30","W","12-29-2009","30","Temple (PA)","21","EagleBank Bowl","UCLA","University of California: Los Angeles"
"2088","31","L","12-31-2011","14","Illinois","20","Kraft Fight Hunger Bowl","UCLA","University of California: Los Angeles"
"2089","32","L","12-27-2012","26","Baylor (TX)","49","Holiday Bowl","UCLA","University of California: Los Angeles"
"2090","33","W","12-31-2013","42","Virginia Tech","12","Sun Bowl","UCLA","University of California: Los Angeles"
"2091","1","W","01-02-1939","26","New Mexico","0","Sun Bowl","Utah","University of Utah"
"2092","2","W","12-19-1964","32","West Virginia","6","Liberty Bowl","Utah","University of Utah"
"2093","3","L","12-29-1992","28","Washington St.","31","Copper Bowl","Utah","University of Utah"
"2094","4","L","12-30-1993","21","Southern California","28","Freedom Bowl","Utah","University of Utah"
"2095","5","W","12-27-1994","16","Arizona","13","Freedom Bowl","Utah","University of Utah"
"2096","6","L","12-27-1996","10","Wisconsin","38","Copper Bowl","Utah","University of Utah"
"2097","7","W","12-18-1999","17","Fresno St. (CA)","16","Las Vegas Bowl","Utah","University of Utah"
"2098","8","W","12-25-2001","10","Southern California","6","Las Vegas Bowl","Utah","University of Utah"
"2099","9","W","12-31-2003","17","Southern Mississippi","0","Liberty Bowl","Utah","University of Utah"
"2100","10","W","01-01-2005","35","Pittsburgh (PA)","7","Fiesta Bowl","Utah","University of Utah"
"2101","11","W","12-29-2005","38","Georgia Tech","10","Emerald Bowl","Utah","University of Utah"
"2102","12","W","12-23-2006","25","Tulsa (OK)","13","Armed Forces Bowl","Utah","University of Utah"
"2103","13","W","12-20-2007","35","Navy (MD)","32","Poinsettia Bowl","Utah","University of Utah"
"2104","14","W","01-02-2009","31","Alabama","17","Sugar Bowl","Utah","University of Utah"
"2105","15","W","12-23-2009","37","California","27","Poinsettia Bowl","Utah","University of Utah"
"2106","16","L","12-22-2010","3","Boise St. (ID)","26","Las Vegas Bowl","Utah","University of Utah"
"2107","17","W","12-31-2011","30","Georgia Tech","27","Sun Bowl","Utah","University of Utah"
"2108","1","L","01-01-1947","0","San Jose St. (CA)","20","Raisin Bowl","Utah St.","Utah State University"
"2109","2","L","12-31-1960","13","New Mexico St.","20","Sun Bowl","Utah St.","Utah State University"
"2110","3","L","12-09-1961","9","Baylor (TX)","24","Gotham Bowl","Utah St.","Utah State University"
"2111","4","W","12-17-1993","42","Ball St. (IN)","33","Las Vegas Bowl","Utah St.","Utah State University"
"2112","5","L","12-29-1997","19","Cincinnati (OH)","35","Humanitarian Bowl","Utah St.","Utah State University"
"2113","6","L","12-17-2011","23","Ohio","24","Idaho Potato Bowl","Utah St.","Utah State University"
"2114","7","W","12-15-2012","41","Toledo (OH)","15","Idaho Potato Bowl","Utah St.","Utah State University"
"2115","8","W","12-26-2013","21","Northern Illinois","14","Poinsettia Bowl","Utah St.","Utah State University"
"2116","1","W","12-31-1955","25","Auburn (AL)","13","Gator Bowl","Vanderbilt (TN)","Vanderbilt University"
"2117","2","T","12-28-1974","6","Texas Tech","6","Peach Bowl","Vanderbilt (TN)","Vanderbilt University"
"2118","3","L","12-31-1982","28","Air Force (CO)","36","Hall of Fame Classic","Vanderbilt (TN)","Vanderbilt University"
"2119","4","W","12-31-2008","16","Boston College (MA)","14","Music City Bowl","Vanderbilt (TN)","Vanderbilt University"
"2120","5","L","12-31-2011","24","Cincinnati (OH)","31","Liberty Bowl","Vanderbilt (TN)","Vanderbilt University"
"2121","6","W","12-31-2012","38","North Carolina St.","24","Music City Bowl","Vanderbilt (TN)","Vanderbilt University"
"2122","7","W","01-04-2014","41","Houston (TX)","24","BBVA Compass Bowl","Vanderbilt (TN)","Vanderbilt University"
"2123","1","W","12-31-1984","27","Purdue (IN)","24","Peach Bowl","Virginia","University of Virginia"
"2124","2","W","12-22-1987","22","Brigham Young (UT)","16","All-American Bowl (2)","Virginia","University of Virginia"
"2125","3","L","01-01-1990","21","Illinois","31","Florida Citrus Bowl","Virginia","University of Virginia"
"2126","4","L","01-01-1991","22","Tennessee","23","Sugar Bowl","Virginia","University of Virginia"
"2127","5","L","12-29-1991","14","Oklahoma","48","Gator Bowl","Virginia","University of Virginia"
"2128","6","L","01-01-1994","13","Boston College (MA)","31","Carquest Bowl","Virginia","University of Virginia"
"2129","7","W","12-28-1994","20","Texas Christian","10","Independence Bowl","Virginia","University of Virginia"
"2130","8","W","12-30-1995","34","Georgia","27","Peach Bowl","Virginia","University of Virginia"
"2131","9","L","12-27-1996","21","Miami (FL)","31","Carquest Bowl","Virginia","University of Virginia"
"2132","10","L","12-31-1998","33","Georgia","35","Peach Bowl","Virginia","University of Virginia"
"2133","11","L","12-30-1999","21","Illinois","63","Micron PC Bowl","Virginia","University of Virginia"
"2134","12","L","12-24-2000","14","Georgia","37","Oahu Classic","Virginia","University of Virginia"
"2135","13","W","12-28-2002","48","West Virginia","22","Continental Tire Bowl","Virginia","University of Virginia"
"2136","14","W","12-27-2003","23","Pittsburgh (PA)","16","Continental Tire Bowl","Virginia","University of Virginia"
"2137","15","L","12-27-2004","34","Fresno St. (CA)","37","MPC Computers Bowl","Virginia","University of Virginia"
"2138","16","W","12-30-2005","34","Minnesota","31","Music City Bowl","Virginia","University of Virginia"
"2139","17","L","01-01-2008","28","Texas Tech","31","Gator Bowl","Virginia","University of Virginia"
"2140","18","L","12-31-2011","24","Auburn (AL)","43","Peach Bowl","Virginia","University of Virginia"
"2141","1","L","01-01-1947","6","Cincinnati (OH)","18","Sun Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2142","2","L","12-10-1966","7","Miami (FL)","14","Liberty Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2143","3","L","12-14-1968","17","Mississippi","34","Liberty Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2144","4","L","01-02-1981","10","Miami (FL)","20","Peach Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2145","5","L","12-15-1984","7","Air Force (CO)","23","Independence Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2146","6","W","12-31-1986","25","North Carolina St.","24","Peach Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2147","7","W","12-31-1993","45","Indiana","20","Independence Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2148","8","L","12-30-1994","23","Tennessee","45","Gator Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2149","9","W","12-31-1995","28","Texas","10","Sugar Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2150","10","L","12-31-1996","21","Nebraska","41","Orange Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2151","11","L","01-01-1998","3","North Carolina","42","Gator Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2152","12","W","12-29-1998","38","Alabama","7","Music City Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2153","13","L","01-04-2000","29","Florida St.","46","Sugar Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2154","14","W","01-01-2001","41","Clemson (SC)","20","Gator Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2155","15","L","01-01-2002","17","Florida St.","30","Gator Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2156","16","W","12-31-2002","20","Air Force (CO)","13","San Francisco Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2157","17","L","12-26-2003","49","California","52","Insight Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2158","18","L","01-03-2005","13","Auburn (AL)","16","Sugar Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2159","19","W","01-02-2006","35","Louisville (KY)","24","Gator Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2160","20","L","12-30-2006","24","Georgia","31","Peach Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2161","21","L","01-03-2008","21","Kansas","24","Orange Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2162","22","W","01-01-2009","20","Cincinnati (OH)","7","Orange Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2163","23","W","12-31-2009","37","Tennessee","14","Peach Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2164","24","L","01-03-2011","12","Stanford (CA)","40","Orange Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2165","25","L","01-03-2012","20","Michigan","23","Sugar Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2166","26","W","12-28-2012","13","Rutgers (NJ)","10","Russell Athletic Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2167","27","L","12-31-2013","12","UCLA","42","Sun Bowl","Virginia Tech","Virginia Polytechnic Institute & State University"
"2168","1","W","01-01-1946","26","South Carolina","14","Gator Bowl","Wake Forest (NC)","Wake Forest University"
"2169","2","L","01-01-1949","7","Baylor (TX)","20","Dixie Bowl","Wake Forest (NC)","Wake Forest University"
"2170","3","L","12-22-1979","10","Louisiana St.","34","Tangerine Bowl","Wake Forest (NC)","Wake Forest University"
"2171","4","W","12-31-1992","39","Oregon","35","Independence Bowl","Wake Forest (NC)","Wake Forest University"
"2172","5","W","12-25-1999","23","Arizona St.","3","Aloha Classic","Wake Forest (NC)","Wake Forest University"
"2173","6","W","12-30-2002","38","Oregon","17","Seattle Bowl","Wake Forest (NC)","Wake Forest University"
"2174","7","L","01-02-2007","13","Louisville (KY)","24","Orange Bowl","Wake Forest (NC)","Wake Forest University"
"2175","8","W","12-29-2007","24","Connecticut","10","Meineke Car Care Bowl","Wake Forest (NC)","Wake Forest University"
"2176","9","W","12-20-2008","29","Navy (MD)","19","EagleBank Bowl","Wake Forest (NC)","Wake Forest University"
"2177","10","L","12-30-2011","17","Mississippi St.","23","Music City Bowl","Wake Forest (NC)","Wake Forest University"
"2178","1","T","01-01-1924","14","Navy (MD)","14","Rose Bowl","Washington","University of Washington"
"2179","2","L","01-01-1926","19","Alabama","20","Rose Bowl","Washington","University of Washington"
"2180","3","L","01-01-1937","0","Pittsburgh (PA)","21","Rose Bowl","Washington","University of Washington"
"2181","4","L","01-01-1944","0","Southern California","29","Rose Bowl","Washington","University of Washington"
"2182","5","W","01-01-1960","44","Wisconsin","8","Rose Bowl","Washington","University of Washington"
"2183","6","W","01-02-1961","17","Minnesota","7","Rose Bowl","Washington","University of Washington"
"2184","7","L","01-01-1964","7","Illinois","17","Rose Bowl","Washington","University of Washington"
"2185","8","W","01-02-1978","27","Michigan","20","Rose Bowl","Washington","University of Washington"
"2186","9","W","12-22-1979","14","Texas","7","Sun Bowl","Washington","University of Washington"
"2187","10","L","01-01-1981","6","Michigan","23","Rose Bowl","Washington","University of Washington"
"2188","11","W","01-01-1982","28","Iowa","0","Rose Bowl","Washington","University of Washington"
"2189","12","W","12-25-1982","21","Maryland","20","Aloha Bowl","Washington","University of Washington"
"2190","13","L","12-26-1983","10","Penn St.","13","Aloha Bowl","Washington","University of Washington"
"2191","14","W","01-01-1985","28","Oklahoma","17","Orange Bowl","Washington","University of Washington"
"2192","15","W","12-30-1985","20","Colorado","17","Freedom Bowl","Washington","University of Washington"
"2193","16","L","12-25-1986","6","Alabama","28","Sun Bowl","Washington","University of Washington"
"2194","17","W","12-19-1987","24","Tulane (LA)","12","Independence Bowl","Washington","University of Washington"
"2195","18","W","12-30-1989","34","Florida","7","Freedom Bowl","Washington","University of Washington"
"2196","19","W","01-01-1991","46","Iowa","34","Rose Bowl","Washington","University of Washington"
"2197","20","W","01-01-1992","34","Michigan","14","Rose Bowl","Washington","University of Washington"
"2198","21","L","01-01-1993","31","Michigan","38","Rose Bowl","Washington","University of Washington"
"2199","22","L","12-29-1995","18","Iowa","38","Sun Bowl","Washington","University of Washington"
