"No","Year","Record","APRank","CoachRank","Team","offName"
"12","1982","9-1-1","8","","Clemson (SC)","Clemson University"
"13","1983","9-1-1","11","","Clemson (SC)","Clemson University"
"14","1986","8-2-2","17","19","Clemson (SC)","Clemson University"
"15","1987","10-2-0","12","10","Clemson (SC)","Clemson University"
"16","1988","10-2-0","9","8","Clemson (SC)","Clemson University"
"17","1989","10-2-0","12","11","Clemson (SC)","Clemson University"
"18","1990","10-2-0","9","9","Clemson (SC)","Clemson University"
"19","1991","9-2-1","18","17","Clemson (SC)","Clemson University"
"20","1993","9-3-0","23","22","Clemson (SC)","Clemson University"
"21","2000","9-3-0","16","14","Clemson (SC)","Clemson University"
"22","2003","9-4-0","22","22","Clemson (SC)","Clemson University"
"23","2005","8-4-0","21","21","Clemson (SC)","Clemson University"
"24","2007","9-4-0","21","22","Clemson (SC)","Clemson University"
"25","2009","9-5-0","24","","Clemson (SC)","Clemson University"
"26","2011","10-4-0","22","22","Clemson (SC)","Clemson University"
"27","2012","11-2-0","11","9","Clemson (SC)","Clemson University"
"28","2013","11-2-0","8","7","Clemson (SC)","Clemson University"
"1","1937","8-1-0","17","","Colorado","University of Colorado at Boulder"
"2","1956","8-2-1","20","18","Colorado","University of Colorado at Boulder"
"3","1961","9-2-0","7","7","Colorado","University of Colorado at Boulder"
"4","1965","6-2-2","","20","Colorado","University of Colorado at Boulder"
"5","1967","9-2-0","","13","Colorado","University of Colorado at Boulder"
"6","1969","8-3-0","16","","Colorado","University of Colorado at Boulder"
"7","1970","6-5-0","","16","Colorado","University of Colorado at Boulder"
"8","1971","10-2-0","3","7","Colorado","University of Colorado at Boulder"
"9","1972","8-4-0","16","14","Colorado","University of Colorado at Boulder"
"10","1975","9-3-0","16","","Colorado","University of Colorado at Boulder"
"11","1976","8-4-0","16","16","Colorado","University of Colorado at Boulder"
"12","1989","11-1-0","4","4","Colorado","University of Colorado at Boulder"
"13","1990","11-1-1","1","2","Colorado","University of Colorado at Boulder"
"14","1991","8-3-1","20","20","Colorado","University of Colorado at Boulder"
"15","1992","9-2-1","13","13","Colorado","University of Colorado at Boulder"
"16","1993","8-3-1","16","16","Colorado","University of Colorado at Boulder"
"17","1994","11-1-0","3","3","Colorado","University of Colorado at Boulder"
"18","1995","10-2-0","5","4","Colorado","University of Colorado at Boulder"
"19","1996","10-2-0","8","8","Colorado","University of Colorado at Boulder"
"20","2001","10-3-0","9","9","Colorado","University of Colorado at Boulder"
"21","2002","9-5-0","20","21","Colorado","University of Colorado at Boulder"
"1","1994","10-2-0","16","14","Colorado St.","Colorado State University"
"2","1997","11-2-0","17","16","Colorado St.","Colorado State University"
"3","2000","10-2-0","14","15","Colorado St.","Colorado State University"
"1","1936","9-1-0","11","","Duke (NC)","Duke University"
"2","1937","7-2-1","20","","Duke (NC)","Duke University"
"3","1938","9-1-0","3","","Duke (NC)","Duke University"
"4","1939","8-1-0","8","","Duke (NC)","Duke University"
"5","1940","7-2-0","18","","Duke (NC)","Duke University"
"6","1941","9-1-0","2","","Duke (NC)","Duke University"
"7","1943","8-1-0","7","","Duke (NC)","Duke University"
"8","1944","6-4-0","11","","Duke (NC)","Duke University"
"9","1945","6-2-0","13","","Duke (NC)","Duke University"
"10","1947","4-3-2","19","","Duke (NC)","Duke University"
"11","1952","8-2-0","16","18","Duke (NC)","Duke University"
"12","1953","7-2-1","18","18","Duke (NC)","Duke University"
"13","1954","8-2-1","14","14","Duke (NC)","Duke University"
"14","1955","7-2-1","","16","Duke (NC)","Duke University"
"15","1956","5-4-1","","20","Duke (NC)","Duke University"
"16","1957","6-3-2","16","14","Duke (NC)","Duke University"
"17","1960","8-3-0","10","11","Duke (NC)","Duke University"
"18","1961","7-3-0","20","14","Duke (NC)","Duke University"
"19","1962","8-2-0","","14","Duke (NC)","Duke University"
"20","2013","10-4-0","23","22","Duke (NC)","Duke University"
"1","1983","8-3-0","20","","East Carolina (NC)","East Carolina University"
"2","1991","11-1-0","9","9","East Carolina (NC)","East Carolina University"
"3","1995","9-3-0","","23","East Carolina (NC)","East Carolina University"
"1","1952","8-3-0","15","","Florida","University of Florida"
"2","1957","6-2-1","17","","Florida","University of Florida"
"3","1958","6-4-1","14","15","Florida","University of Florida"
"4","1959","5-4-1","19","19","Florida","University of Florida"
"5","1960","9-2-0","18","16","Florida","University of Florida"
"6","1965","7-4-0","","12","Florida","University of Florida"
"7","1966","9-2-0","","11","Florida","University of Florida"
"8","1969","9-1-1","14","17","Florida","University of Florida"
"9","1973","7-5-0","","19","Florida","University of Florida"
"10","1974","8-4-0","15","12","Florida","University of Florida"
"11","1980","8-4-0","","19","Florida","University of Florida"
"12","1983","9-2-1","6","6","Florida","University of Florida"
"13","1984","9-1-1","3","7","Florida","University of Florida"
"14","1985","9-1-1","5","","Florida","University of Florida"
"15","1990","9-2-0","13","","Florida","University of Florida"
"16","1991","10-2-0","7","8","Florida","University of Florida"
"17","1992","9-4-0","10","11","Florida","University of Florida"
"18","1993","11-2-0","5","4","Florida","University of Florida"
"19","1994","10-2-1","7","7","Florida","University of Florida"
"20","1995","12-1-0","2","3","Florida","University of Florida"
"21","1996","12-1-0","1","1","Florida","University of Florida"
"22","1997","10-2-0","4","6","Florida","University of Florida"
"23","1998","10-2-0","5","6","Florida","University of Florida"
"24","1999","9-4-0","12","14","Florida","University of Florida"
"25","2000","10-3-0","10","11","Florida","University of Florida"
"26","2001","10-2-0","3","3","Florida","University of Florida"
"27","2002","8-5-0","","24","Florida","University of Florida"
"28","2003","8-5-0","24","25","Florida","University of Florida"
"29","2004","7-5-0","","25","Florida","University of Florida"
"30","2005","9-3-0","12","16","Florida","University of Florida"
"31","2006","13-1-0","1","1","Florida","University of Florida"
"32","2007","9-4-0","13","16","Florida","University of Florida"
"33","2008","13-1-0","1","1","Florida","University of Florida"
"34","2009","13-1-0","3","3","Florida","University of Florida"
"35","2012","11-2-0","9","10","Florida","University of Florida"
"1","1964","9-1-1","","11","Florida St.","Florida State University"
"2","1967","7-2-2","","15","Florida St.","Florida State University"
"3","1968","8-3-0","","14","Florida St.","Florida State University"
"4","1971","8-4-0","","19","Florida St.","Florida State University"
"5","1977","10-2-0","14","11","Florida St.","Florida State University"
"6","1979","11-1-0","6","8","Florida St.","Florida State University"
"7","1980","10-2-0","5","5","Florida St.","Florida State University"
"8","1982","9-3-0","13","10","Florida St.","Florida State University"
"9","1984","7-3-2","17","19","Florida St.","Florida State University"
"10","1985","9-3-0","15","13","Florida St.","Florida State University"
"11","1986","7-4-1","","20","Florida St.","Florida State University"
"12","1987","11-1-0","2","2","Florida St.","Florida State University"
"13","1988","11-1-0","3","3","Florida St.","Florida State University"
"14","1989","10-2-0","3","2","Florida St.","Florida State University"
"15","1990","10-2-0","4","4","Florida St.","Florida State University"
"16","1991","11-2-0","4","4","Florida St.","Florida State University"
"17","1992","11-1-0","2","2","Florida St.","Florida State University"
"18","1993","12-1-0","1","1","Florida St.","Florida State University"
"19","1994","10-1-1","4","5","Florida St.","Florida State University"
"20","1995","10-2-0","4","5","Florida St.","Florida State University"
"21","1996","11-1-0","3","3","Florida St.","Florida State University"
"22","1997","11-1-0","3","3","Florida St.","Florida State University"
"23","1998","11-2-0","3","3","Florida St.","Florida State University"
"24","1999","12-0-0","1","1","Florida St.","Florida State University"
"25","2000","11-2-0","5","4","Florida St.","Florida State University"
"26","2001","8-4-0","15","15","Florida St.","Florida State University"
"27","2002","9-5-0","21","23","Florida St.","Florida State University"
"28","2003","10-3-0","11","10","Florida St.","Florida State University"
"29","2004","9-3-0","15","14","Florida St.","Florida State University"
"30","2005","8-5-0","23","23","Florida St.","Florida State University"
"31","2008","9-4-0","21","23","Florida St.","Florida State University"
"32","2010","10-4-0","17","16","Florida St.","Florida State University"
"33","2011","9-4-0","23","23","Florida St.","Florida State University"
"34","2012","12-2-0","10","8","Florida St.","Florida State University"
"35","2013","14-0-0","1","1","Florida St.","Florida State University"
"1","1985","11-0-1","","16","Fresno St. (CA)","California State University: Fresno"
"2","1992","9-4-0","24","22","Fresno St. (CA)","California State University: Fresno"
"3","2004","9-3-0","22","22","Fresno St. (CA)","California State University: Fresno"
